name,lat,lon,category
"""Betsy"" Wallis Reserve",-33.6414697,151.3219467,park
"""Park with No Name""",-33.8519709,151.1776108,park
18th Brigade Remembrance Drive Reserve,-33.9053797,151.0111971,park
18th Brigade Remembrance Drive Reserve,-33.9050986,151.0089707,park
3 Star Spices And Groceries,-34.0677873,150.8135216,supermarket
36th Battalion Park,-33.8807755,151.1609396,park
A E Watson Reserve,-33.9538089,151.1251869,park
A J supermarket,-33.8611247,151.0452928,supermarket
AB Crofts Playground,-33.9140211,151.1398085,park
ABILITY Education,-33.8819559,151.2036667,school
AC Charlie Moore Reserve,-33.7515218,151.0262826,park
ALDI,-34.2254291,150.5918265,supermarket
ALDI,-34.0685245,150.8104863,supermarket
ALDI,-34.0631859,150.8070023,supermarket
ALDI,-34.0497462,150.7573343,supermarket
ALDI,-34.0326914,151.0739521,supermarket
ALDI,-34.0180019,151.0108014,supermarket
ALDI,-33.9621833,151.1329508,supermarket
ALDI,-33.957756,151.138544,supermarket
ALDI,-33.9514891,151.2308608,supermarket
ALDI,-33.9442003,151.2233551,supermarket
ALDI,-33.9299232,151.1525331,supermarket
ALDI,-33.9282494,150.9811762,supermarket
ALDI,-33.8937596,151.0610814,supermarket
ALDI,-33.8900018,151.1248879,supermarket
ALDI,-33.8851142,151.1494127,supermarket
ALDI,-33.8830311,151.1943353,supermarket
ALDI,-33.8788576,151.2135219,supermarket
ALDI,-33.8558213,151.1634046,supermarket
ALDI,-33.8138914,151.1690286,supermarket
ALDI,-33.8038796,150.8050391,supermarket
ALDI,-33.7951496,151.1883297,supermarket
ALDI,-33.7875241,150.6689626,supermarket
ALDI,-33.7725474,150.9681496,supermarket
ALDI,-33.7689648,151.0299572,supermarket
ALDI,-33.7663683,151.2673418,supermarket
ALDI,-33.7549618,151.2848787,supermarket
ALDI,-33.7545651,150.706153,supermarket
ALDI,-33.7523025,150.659185,supermarket
ALDI,-33.7499745,151.2239906,supermarket
ALDI,-33.7386178,151.2107779,supermarket
ALDI,-33.7197855,150.7103192,supermarket
