name,lat,lon,mode
Aberdeen Station,-32.16687179,150.89194732,train
Adamstown Station,-32.93365273,151.72020335,train
Albion Park Station,-34.56288179,150.79871523,train
Allawah Station,-33.96972995,151.11454867,train
Arlington Light Rail,-33.90191238,151.1381126,light_rail
Arncliffe Station,-33.93678246,151.147174,train
Artarmon Station,-33.80854241,151.18470089,train
Ashfield Station,-33.88763777,151.12585123,train
Asquith Station,-33.68852348,151.10820109,train
Auburn Station,-33.8494301,151.03301684,train
Austinmer Station,-34.30645714,150.92923261,train
Awaba Station,-33.01297684,151.54212359,train
Bank Street Light Rail,-33.87089194,151.19235857,light_rail
Banksia Station,-33.94499641,151.14058914,train
Bankstown Station,-33.91784784,151.03465392,train
Barangaroo Station,-33.85957698,151.20261517,metro
Bardwell Park Station,-33.93141993,151.12526266,train
Bargo Station,-34.29108396,150.58011741,train
Bathurst Station,-33.42559763,149.5831806,train
Beecroft Station,-33.74927233,151.06660668,train
Bell Station,-33.50601251,150.27910205,train
Bella Vista Station,-33.73056616,150.94401959,metro
Bellambi Station,-34.36264805,150.91011528,train
Benaud Oval Light Rail,-33.80080926,151.00455729,light_rail
Berala Station,-33.87178351,151.03252488,train
Beresfield Station,-32.79929092,151.6582626,train
Berowra Station,-33.62338518,151.15323454,train
Berry Station,-34.78030845,150.696616,train
Beverly Hills Station,-33.94912063,151.08086032,train
Bexley North Station,-33.93750842,151.11377376,train
Birrong Station,-33.89258874,151.02427803,train
Blackheath Station,-33.63374163,150.28438143,train
Blacktown Station,-33.76854404,150.90708043,train
Blaxland Station,-33.74374219,150.60978672,train
Bomaderry Station,-34.85383874,150.6097542,train
Bombo Station,-34.65853912,150.85385441,train
Bondi Junction Station,-33.89119702,151.24837675,train
Booragul Station,-32.97170853,151.60494259,train
Bowral Station,-34.47817984,150.41663309,train
Branxton Station,-32.66222662,151.34553741,train
Bridge Street Light Rail,-33.86415051,151.20746219,light_rail
Broadmeadow Station,-32.92272405,151.73499102,train
Bullaburra Station,-33.72338686,150.41500219,train
Bulli Station,-34.33443113,150.91475593,train
Bundanoon Station,-34.65596932,150.29949924,train
Burradoo Station,-34.49420232,150.39796611,train
Burwood Station,-33.87710168,151.10385716,train
Cabramatta Station,-33.89474039,150.93887636,train
Campbelltown Station,-34.06355569,150.81463149,train
Canley Vale Station,-33.88732821,150.94353766,train
Capitol Square Light Rail,-33.87977512,151.20557292,light_rail
Cardiff Station,-32.94142086,151.66266152,train
Caringbah Station,-34.04157831,151.12202571,train
Carlingford Light Rail,-33.78197129,151.0471877,light_rail
Carlton Station,-33.96824293,151.12450153,train
Carramar Station,-33.88445193,150.96098356,train
Castle Hill Station,-33.73162575,151.00728849,metro
Casula Station,-33.95021052,150.91182891,train
Central Station,-33.88402424,151.20620308,light_rail
Central Station,-33.88402424,151.20620308,metro
Central Station,-33.88402424,151.20620308,train
Chatswood Station,-33.79723668,151.18093364,metro
Chatswood Station,-33.79723668,151.18093364,train
Cheltenham Station,-33.75561151,151.07845967,train
Cherrybrook Station,-33.73665917,151.03199446,metro
Chester Hill Station,-33.8836589,151.0002517,train
Childrens Hospital Light Rail,-33.80258932,150.99302641,light_rail
Chinatown Light Rail,-33.87854999,151.20556672,light_rail
Church Street Light Rail,-33.81295045,151.00361257,light_rail
Circular Quay,-33.86135094,151.21081302,light_rail
